Country Code,Year,GDPPerMonth
ARG,2010,423627000000.0
ARG,2011,530163000000.0
ARG,2012,545982000000.0
ARG,2013,552024999999.9999
ARG,2014,526320000000.0
ARG,2015,594749000000.0001
ARG,2016,557531000000.0001
ARG,2017,643629000000.0
ARG,2018,524820000000.0
ARG,2019,447755000000.00006
ARG,2020,385539999999.99994
ARG,2021,487227000000.0
AUS,2010,1148610000000.0
AUS,2011,1398410000000.0
AUS,2012,1546890000000.0
AUS,2013,1576380000000.0
AUS,2014,1467549999999.9998
AUS,2015,1350620000000.0
AUS,2016,1206540000000.0
AUS,2017,1326520000000.0
AUS,2018,1428290000000.0
AUS,2019,1392230000000.0
AUS,2020,1326900000000.0
AUS,2021,1552670000000.0002
AUT,2010,392274999999.99994
AUT,2011,431685000000.0
AUT,2012,409401999999.99994
AUT,2013,430191000000.0
AUT,2014,442584999999.99994
AUT,2015,381971000000.00006
AUT,2016,395837000000.00006
AUT,2017,417261000000.0
AUT,2018,454991000000.00006
AUT,2019,444621000000.0
AUT,2020,435225000000.0
AUT,2021,480368000000.00006
BEL,2010,481421000000.00006
BEL,2011,523329999999.99994
BEL,2012,496152999999.99994
BEL,2013,521790999999.99994
BEL,2014,535389999999.99994
BEL,2015,462336000000.0
BEL,2016,476063000000.00006
BEL,2017,502764999999.99994
BEL,2018,543299000000.00006
BEL,2019,535830999999.99994
BEL,2020,525212000000.00006
BEL,2021,594104000000.0001
BGR,2010,50682061053.0
BGR,2011,57678241024.00001
BGR,2012,54300857424.0
BGR,2013,55810138435.99999
BGR,2014,57082011259.99999
BGR,2015,50781996712.99999
BGR,2016,53953897624.00001
BGR,2017,59199447421.00001
BGR,2018,66363537115.00001
BGR,2019,68915875215.0
BGR,2020,70240275010.00002
BGR,2021,84056312734.0
BRA,2010,2208870000000.0
BRA,2011,2616200000000.0
BRA,2012,2465190000000.0
BRA,2013,2472810000000.0
BRA,2014,2455990000000.0
BRA,2015,1802210000000.0002
BRA,2016,1795700000000.0002
BRA,2017,2063510000000.0002
BRA,2018,1916949999999.9998
BRA,2019,1873269999999.9998
BRA,2020,1448560000000.0
BRA,2021,1608980000000.0002
CAN,2010,1617339999999.9998
CAN,2011,1793330000000.0002
CAN,2012,1828370000000.0002
CAN,2013,1846599999999.9998
CAN,2014,1805750000000.0002
CAN,2015,1556510000000.0002
CAN,2016,1527990000000.0
CAN,2017,1649270000000.0002
CAN,2018,1725330000000.0
CAN,2019,1742019999999.9998
CAN,2020,1645419999999.9998
CAN,2021,1988340000000.0
CHE,2010,598851000000.0
CHE,2011,715888000000.0
CHE,2012,686420000000.0
CHE,2013,706235000000.0
CHE,2014,726538000000.0
CHE,2015,694118000000.0
CHE,2016,687895000000.0
CHE,2017,695201000000.0
CHE,2018,725569000000.0
CHE,2019,721369000000.0
CHE,2020,739914000000.0
CHE,2021,800640000000.0
CHL,2010,217105000000.00003
CHL,2011,251224999999.99997
CHL,2012,267175999999.99997
CHL,2013,277239000000.0
CHL,2014,259405000000.00003
CHL,2015,242497000000.00003
CHL,2016,249298999999.99997
CHL,2017,276364999999.99994
CHL,2018,295402999999.99994
CHL,2019,278584999999.99994
CHL,2020,252727000000.00003
CHL,2021,317059000000.0
CHN,2010,6087159999999.999
CHN,2011,7551500000000.001
CHN,2012,8532230000000.001
CHN,2013,9570410000000.002
CHN,2014,10475700000000.0
CHN,2015,11061600000000.0
CHN,2016,11233300000000.0
CHN,2017,12310399999999.998
CHN,2018,13894800000000.0
CHN,2019,14279899999999.998
CHN,2020,14687700000000.0
CHN,2021,17734099999999.996
COL,2010,286563000000.0
COL,2011,334944000000.0
COL,2012,370920999999.99994
COL,2013,382116000000.0
COL,2014,381111999999.99994
COL,2015,293482000000.00006
COL,2016,282825000000.0
COL,2017,311884000000.0
COL,2018,334198000000.0
COL,2019,323110000000.0
COL,2020,270300000000.0
COL,2021,314464000000.0
CRI,2010,37658614803.0
CRI,2011,42762617082.0
CRI,2012,47231651863.00001
CRI,2013,50949672205.99999
CRI,2014,52016408950.99999
CRI,2015,56441917653.0
CRI,2016,58847016045.0
CRI,2017,60516043590.0
CRI,2018,62420165100.0
CRI,2019,64417670083.00001
CRI,2020,62158002232.99999
CRI,2021,64282438666.99999
CYP,2010,25800247911.999996
CYP,2011,27642086580.999996
CYP,2012,25048659900.0
CYP,2013,23961144906.0
CYP,2014,23226782250.999996
CYP,2015,19909190059.0
CYP,2016,21046951516.0
CYP,2017,22946726163.999996
CYP,2018,25596474965.000004
CYP,2019,25944504645.999996
CYP,2020,25008448886.000004
CYP,2021,28407867534.0
CZE,2010,209070000000.0
CZE,2011,229563000000.0
CZE,2012,208858000000.00003
CZE,2013,211686000000.0
CZE,2014,209359000000.00003
CZE,2015,188032999999.99997
CZE,2016,196272000000.0
CZE,2017,218629000000.00003
CZE,2018,249001000000.00003
CZE,2019,252547999999.99997
CZE,2020,245974999999.99997
CZE,2021,281778000000.0
DEU,2010,3399670000000.0005
DEU,2011,3749310000000.0
DEU,2012,3527140000000.0005
DEU,2013,3733800000000.0
DEU,2014,3889090000000.0005
DEU,2015,3357589999999.9995
DEU,2016,3469849999999.9995
DEU,2017,3690850000000.0005
DEU,2018,3974440000000.0005
DEU,2019,3888229999999.9995
DEU,2020,3889669999999.9995
DEU,2021,4259929999999.9995
DNK,2010,321995000000.0
DNK,2011,344003000000.0
DNK,2012,327149000000.0
DNK,2013,343584000000.0
DNK,2014,352994000000.0
DNK,2015,302673000000.0
DNK,2016,313116000000.0
DNK,2017,332121000000.0
DNK,2018,356841000000.0
DNK,2019,346499000000.0
DNK,2020,355222000000.0
DNK,2021,398303000000.00006
ESP,2010,1422110000000.0
ESP,2011,1480710000000.0
ESP,2012,1324750000000.0
ESP,2013,1355580000000.0
ESP,2014,1371820000000.0
ESP,2015,1196160000000.0
ESP,2016,1233550000000.0
ESP,2017,1313250000000.0
ESP,2018,1421700000000.0
ESP,2019,1394320000000.0
ESP,2020,1276960000000.0
ESP,2021,1427380000000.0
EST,2010,19523477326.0
EST,2011,23213994093.0
EST,2012,23019150071.000004
EST,2013,25115753366.000004
EST,2014,26634083964.999996
EST,2015,22890762090.0
EST,2016,24072829277.000004
EST,2017,26924385102.999996
EST,2018,30624720195.999996
EST,2019,31081901909.000004
EST,2020,31370395572.999996
EST,2021,37191166152.0
FIN,2010,249424000000.00003
FIN,2011,275604000000.0
FIN,2012,258289999999.99997
FIN,2013,271362000000.0
FIN,2014,274863000000.0
FIN,2015,234534000000.0
FIN,2016,240771000000.0
FIN,2017,255648000000.0
FIN,2018,275707999999.99994
FIN,2019,268515000000.0
FIN,2020,271891999999.99997
FIN,2021,297301999999.99994
FRA,2010,2645190000000.0
FRA,2011,2865160000000.0
FRA,2012,2683670000000.0
FRA,2013,2811880000000.0
FRA,2014,2855960000000.0
FRA,2015,2439190000000.0
FRA,2016,2472960000000.0
FRA,2017,2595150000000.0
FRA,2018,2790960000000.0
FRA,2019,2728870000000.0
FRA,2020,2639010000000.0
FRA,2021,2957880000000.0
GBR,2010,2491400000000.0
GBR,2011,2666400000000.0
GBR,2012,2706340000000.0
GBR,2013,2786320000000.0
GBR,2014,3065220000000.0
GBR,2015,2934859999999.9995
GBR,2016,2699660000000.0
GBR,2017,2683400000000.0
GBR,2018,2878150000000.0
GBR,2019,2857060000000.0
GBR,2020,2704610000000.0
GBR,2021,3131380000000.0005
GRC,2010,297124999999.99994
GRC,2011,282996000000.0
GRC,2012,242029000000.00003
GRC,2013,238908000000.0
GRC,2014,235458000000.0
GRC,2015,195684000000.0
GRC,2016,193147999999.99997
GRC,2017,199843999999.99997
GRC,2018,212049000000.0
GRC,2019,205257000000.0
GRC,2020,188926000000.00003
GRC,2021,214873999999.99997
HRV,2010,60672093865.00001
HRV,2011,63408294943.00001
HRV,2012,57369359295.0
HRV,2013,59032066092.0
HRV,2014,58423981441.00001
HRV,2015,50242783066.00001
HRV,2016,52397494687.00001
HRV,2017,56323836169.99999
HRV,2018,62316840750.0
HRV,2019,62327983579.99999
HRV,2020,57472012426.99999
HRV,2021,68955083280.0
HUN,2010,132174999999.99998
HUN,2011,141942000000.0
HUN,2012,128814000000.0
HUN,2013,135684000000.0
HUN,2014,141033999999.99997
HUN,2015,125174000000.00002
HUN,2016,128610000000.0
HUN,2017,143112000000.0
HUN,2018,160565000000.0
HUN,2019,163989000000.0
HUN,2020,157182000000.0
HUN,2021,181848000000.0
IND,2010,1675620000000.0
IND,2011,1823049999999.9998
IND,2012,1827639999999.9998
IND,2013,1856720000000.0002
IND,2014,2039130000000.0
IND,2015,2103590000000.0002
IND,2016,2294799999999.9995
IND,2017,2651470000000.0
IND,2018,2702930000000.0
IND,2019,2831550000000.0
IND,2020,2667690000000.0
IND,2021,3176299999999.9995
IRL,2010,221914000000.00003
IRL,2011,239002999999.99997
IRL,2012,225628999999.99997
IRL,2013,238341000000.0
IRL,2014,259171000000.00003
IRL,2015,291775000000.00006
IRL,2016,299091000000.0
IRL,2017,336378000000.0
IRL,2018,385737000000.0
IRL,2019,399321999999.99994
IRL,2020,425852000000.00006
IRL,2021,504183000000.0
ISL,2010,13751161918.000002
ISL,2011,15221622925.999998
ISL,2012,14751508134.0
ISL,2013,16125060514.999998
ISL,2014,17867662177.999996
ISL,2015,17517210519.0
ISL,2016,20793168031.0
ISL,2017,24728285177.000004
ISL,2018,26264127687.0
ISL,2019,24826102119.999996
ISL,2020,21694674810.0
ISL,2021,25602419210.000004
ITA,2010,2136099999999.9998
ITA,2011,2294990000000.0005
ITA,2012,2086959999999.9998
ITA,2013,2141919999999.9998
ITA,2014,2162010000000.0
ITA,2015,1836639999999.9998
ITA,2016,1877070000000.0
ITA,2017,1961799999999.9998
ITA,2018,2091930000000.0
ITA,2019,2011299999999.9998
ITA,2020,1896759999999.9998
ITA,2021,2107700000000.0002
JPN,2010,5759070000000.0
JPN,2011,6233150000000.001
JPN,2012,6272360000000.001
JPN,2013,5212330000000.0
JPN,2014,4896990000000.0
JPN,2015,4444930000000.001
JPN,2016,5003680000000.0
JPN,2017,4930840000000.0
JPN,2018,5037840000000.0
JPN,2019,5123320000000.0
JPN,2020,5040110000000.0
JPN,2021,4940880000000.0
KOR,2010,1144069999999.9998
KOR,2011,1253220000000.0
KOR,2012,1278430000000.0
KOR,2013,1370800000000.0
KOR,2014,1484319999999.9998
KOR,2015,1465770000000.0
KOR,2016,1500110000000.0002
KOR,2017,1623900000000.0
KOR,2018,1724850000000.0
KOR,2019,1651419999999.9998
KOR,2020,1644309999999.9998
KOR,2021,1810959999999.9998
LTU,2010,37128694028.00001
LTU,2011,43535051482.0
LTU,2012,42927454291.0
LTU,2013,46523420074.00001
LTU,2014,48533659591.99999
LTU,2015,41435533340.0
LTU,2016,43047309306.0
LTU,2017,47758736932.00001
LTU,2018,53751411409.00001
LTU,2019,54751510087.99999
LTU,2020,56846622904.00001
LTU,2021,66445256584.99999
LUX,2010,56213985987.0
LUX,2011,61696281325.99999
LUX,2012,59776383526.99999
LUX,2013,65203276467.0
LUX,2014,68804811898.00002
LUX,2015,60071584216.00001
LUX,2016,62216885436.0
LUX,2017,65712180343.00001
LUX,2018,71000359759.99998
LUX,2019,69825641851.00002
LUX,2020,73992591285.0
LUX,2021,85506243834.0
LVA,2010,23956163076.999996
LVA,2011,27474380565.999996
LVA,2012,28169902668.999996
LVA,2013,30204783462.0
LVA,2014,31386896487.0
LVA,2015,27263090547.0
LVA,2016,28083597512.000004
LVA,2017,30483806018.000004
LVA,2018,34429023435.0
LVA,2019,34343961072.999996
LVA,2020,34601740323.0
LVA,2021,39853501580.0
MEX,2010,1057800000000.0
MEX,2011,1180489999999.9998
MEX,2012,1201090000000.0
MEX,2013,1274440000000.0
MEX,2014,1315350000000.0
MEX,2015,1171870000000.0002
MEX,2016,1078489999999.9999
MEX,2017,1158910000000.0002
MEX,2018,1222410000000.0
MEX,2019,1269010000000.0
MEX,2020,1090519999999.9999
MEX,2021,1272840000000.0
MKD,2010,9407168702.0
MKD,2011,10494632699.0
MKD,2012,9745251126.0
MKD,2013,10817712139.0
MKD,2014,11362272838.0
MKD,2015,10064515432.0
MKD,2016,10672471861.0
MKD,2017,11307058382.0
MKD,2018,12683070061.000002
MKD,2019,12606338449.000002
MKD,2020,12363580534.999998
MKD,2021,13825049832.0
MLT,2010,9035927349.999998
MLT,2011,9638919822.0
MLT,2012,9462289606.0
MLT,2013,10551600478.0
MLT,2014,11626278730.000002
MLT,2015,11091423499.0
MLT,2016,11668253265.0
MLT,2017,13489380931.000002
MLT,2018,15298771846.999998
MLT,2019,15725847979.000002
MLT,2020,14933066818.999998
MLT,2021,17364044944.000004
NLD,2010,847381000000.0001
NLD,2011,905271000000.0
NLD,2012,838923000000.0
NLD,2013,877173000000.0
NLD,2014,892168000000.0001
NLD,2015,765573000000.0
NLD,2016,784060000000.0001
NLD,2017,833869999999.9999
NLD,2018,914043000000.0
NLD,2019,910194000000.0
NLD,2020,909793000000.0001
NLD,2021,1012849999999.9999
NOR,2010,428757000000.0
NOR,2011,498282999999.99994
NOR,2012,509505999999.99994
NOR,2013,522762000000.0
NOR,2014,498410000000.00006
NOR,2015,385802000000.00006
NOR,2016,368826999999.99994
NOR,2017,398394000000.0
NOR,2018,437000000000.00006
NOR,2019,404940999999.99994
NOR,2020,362198000000.0
NOR,2021,482175000000.0
NZL,2010,146517999999.99997
NZL,2011,168291000000.0
NZL,2012,176207000000.0
NZL,2013,190906999999.99997
NZL,2014,201313000000.00003
NZL,2015,178064000000.0
NZL,2016,188838000000.0
NZL,2017,206623999999.99997
NZL,2018,211953000000.0
NZL,2019,213435000000.0
NZL,2020,211735000000.00003
NZL,2021,249886000000.00003
POL,2010,475697000000.00006
POL,2011,524382999999.99994
POL,2012,495237000000.0
POL,2013,515765000000.00006
POL,2014,539088000000.0
POL,2015,477111000000.0
POL,2016,470022999999.99994
POL,2017,524646000000.0
POL,2018,588783000000.0
POL,2019,596055000000.0
POL,2020,599448999999.9999
POL,2021,679445000000.0
PRT,2010,238113000000.0
PRT,2011,245118000000.0
PRT,2012,216223999999.99997
PRT,2013,226434000000.0
PRT,2014,229902000000.0
PRT,2015,199393999999.99997
PRT,2016,206425999999.99997
PRT,2017,221358000000.0
PRT,2018,242313000000.0
PRT,2019,239986999999.99997
PRT,2020,229032000000.0
PRT,2021,253663000000.00003
ROU,2010,170029000000.0
ROU,2011,192613999999.99997
ROU,2012,179133000000.0
ROU,2013,189790000000.00003
ROU,2014,199711999999.99997
ROU,2015,177882000000.0
ROU,2016,185287000000.00003
ROU,2017,210147000000.0
ROU,2018,243316999999.99997
ROU,2019,251019000000.0
ROU,2020,251362000000.00003
ROU,2021,284088000000.0
SRB,2010,41819468692.0
SRB,2011,49258136128.99999
SRB,2012,43309252921.0
SRB,2013,48394239475.00001
SRB,2014,47062206678.0
SRB,2015,39655958843.0
SRB,2016,40692643373.0
SRB,2017,44179055280.0
SRB,2018,50640650221.00001
SRB,2019,51514222381.99999
SRB,2020,53356480453.99999
SRB,2021,63082047649.99999
SVK,2010,91162836320.0
SVK,2011,99922685424.99998
SVK,2012,94623731085.99998
SVK,2013,98935222175.00002
SVK,2014,101436999999.99998
SVK,2015,88900883131.0
SVK,2016,89952699525.0
SVK,2017,95649966261.0
SVK,2018,106137999999.99998
SVK,2019,105720000000.0
SVK,2020,106697000000.00002
SVK,2021,116526999999.99998
SVN,2010,48208240225.99999
SVN,2011,51583869784.99999
SVN,2012,46577793184.00001
SVN,2013,48415657264.99999
SVN,2014,49997186439.0
SVN,2015,43107506024.0
SVN,2016,44766722791.0
SVN,2017,48589100043.0
SVN,2018,54177882426.0
SVN,2019,54331588482.0
SVN,2020,53706800044.00001
SVN,2021,61748586535.00001
SWE,2010,495813000000.0
SWE,2011,574094000000.0001
SWE,2012,552483999999.9999
SWE,2013,586842000000.0
SWE,2014,581964000000.0
SWE,2015,505104000000.0
SWE,2016,515655000000.0
SWE,2017,541019000000.00006
SWE,2018,555455000000.0001
SWE,2019,533880000000.0
SWE,2020,547053999999.99994
SWE,2021,635664000000.0
TUR,2010,776992999999.9999
TUR,2011,838762999999.9999
TUR,2012,880555999999.9999
TUR,2013,957783000000.0
TUR,2014,938953000000.0001
TUR,2015,864316999999.9999
TUR,2016,869692999999.9999
TUR,2017,858996000000.0
TUR,2018,778471999999.9999
TUR,2019,759937000000.0001
TUR,2020,720289000000.0
TUR,2021,819034999999.9999
USA,2010,15049000000000.002
USA,2011,15599700000000.0
USA,2012,16254000000000.0
USA,2013,16843200000000.0
USA,2014,17550700000000.002
USA,2015,18205999999999.996
USA,2016,18695100000000.0
USA,2017,19477300000000.0
USA,2018,20533100000000.0
USA,2019,21381000000000.0
USA,2020,21060500000000.0
USA,2021,23315100000000.0
