Country Name,Country Code_x,Indicator Name_x,Indicator Code_x,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,Unnamed: 66,Country Code_y,Indicator Name_y,Indicator Code_y,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y
Australia,AUS,"Population, total",SP.POP.TOTL,10276477.0,10483000.0,10742000.0,10950000.0,11167000.0,11388000.0,11651000.0,11799000.0,12009000.0,12263000.0,12507000.0,12937000.0,13177000.0,13380000.0,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14923260.0,15184247.0,15393472.0,15579391.0,15788312.0,16018350.0,16263874.0,16532164.0,16814416.0,17065128.0,17284036.0,17478635.0,17634808.0,17805468.0,18004882.0,18224767.0,18423037.0,18607584.0,18812264.0,19028802.0,19274701.0,19495210.0,19720737.0,19932722.0,20176844.0,20450966.0,20827622.0,21249199.0,21691653.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24594202.0,24966643.0,25340217.0,25655289.0,25688079.0,,AUS,GDP (current US$),NY.GDP.MKTP.CD,18605666928.0,19681935267.0,19921603763.0,21538806137.0,23799977601.0,25974913204.0,27306529287.0,30441258820.0,32712509800.0,36681599283.0,41331616082.0,45214469705.0,52042056075.0,63832158873.0,88963890936.0,97304383449.0,105066000000.0,110351000000.0,118495000000.0,134898000000.0,149984000000.0,176892000000.0,194037000000.0,177267000000.0,193519000000.0,180634000000.0,182472000000.0,189488000000.0,236154000000.0,299878000000.0,311434000000.0,325987000000.0,325532000000.0,312138000000.0,322809000000.0,368141000000.0,401311000000.0,435614000000.0,399661000000.0,389390000000.0,415851000000.0,379358000000.0,395581000000.0,467498000000.0,614326000000.0,695329000000.0,747907000000.0,854427000000.0,1055640000000.0,928627000000.0,1148610000000.0,1398410000000.0,1546890000000.0,1576380000000.0,1467550000000.0,1350620000000.0,1206540000000.0,1326520000000.0,1428290000000.0,1392230000000.0,1326900000000.0,1552670000000.0
Austria,AUT,"Population, total",SP.POP.TOTL,7047539.0,7086299.0,7129864.0,7175811.0,7223801.0,7270889.0,7322066.0,7376998.0,7415403.0,7441055.0,7467086.0,7500482.0,7544201.0,7586115.0,7599038.0,7578903.0,7565525.0,7568430.0,7562305.0,7549425.0,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0,8955797.0,,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.0,7311749633.0,7756110210.0,8374175258.0,9169983886.0,9994070616.0,10887682273.0,11579431669.0,12440625313.0,13582798556.0,15373005557.0,17858486067.0,22059612477.0,29515467707.0,35189299912.0,40059206763.0,42959976222.0,51545758888.0,62052259073.0,73937296963.0,82058912997.0,71034228443.0,71275287570.0,72121016547.0,67985344887.0,69386774408.0,99036164939.0,124168000000.0,133339000000.0,133106000000.0,166463000000.0,173794000000.0,195078000000.0,190380000000.0,203535000000.0,241038000000.0,237251000000.0,212790000000.0,218260000000.0,217259000000.0,197290000000.0,197509000000.0,214395000000.0,262274000000.0,301458000000.0,316092000000.0,336280000000.0,389186000000.0,432052000000.0,401759000000.0,392275000000.0,431685000000.0,409402000000.0,430191000000.0,442585000000.0,381971000000.0,395837000000.0,417261000000.0,454991000000.0,444621000000.0,435225000000.0,480368000000.0
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489.0,9183948.0,9220578.0,9289770.0,9378113.0,9463667.0,9527807.0,9580991.0,9618756.0,9646032.0,9655549.0,9673162.0,9711115.0,9741720.0,9772419.0,9800700.0,9818227.0,9830358.0,9839534.0,9848382.0,9859242.0,9858982.0,9856303.0,9855520.0,9855372.0,9858308.0,9861823.0,9870234.0,9901664.0,9937697.0,9967379.0,10004486.0,10045158.0,10084475.0,10115603.0,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0,11592952.0,,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591.0,12400145222.0,13264015675.0,14260017387.0,15960106681.0,17371457608.0,18651883472.0,19992040788.0,21376353113.0,23710735895.0,26706196047.0,29821661870.0,37209418019.0,47743801490.0,56033077879.0,65678189097.0,71113882968.0,82839905459.0,101247000000.0,116315000000.0,126829000000.0,104730000000.0,92095926188.0,87184239053.0,83349530159.0,86268264148.0,120019000000.0,149394000000.0,162299000000.0,164221000000.0,205332000000.0,210511000000.0,234782000000.0,224722000000.0,244884000000.0,288026000000.0,279201000000.0,252708000000.0,258528000000.0,258246000000.0,236792000000.0,236746000000.0,258384000000.0,318083000000.0,369215000000.0,385715000000.0,408260000000.0,470922000000.0,517328000000.0,483254000000.0,481421000000.0,523330000000.0,496153000000.0,521791000000.0,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535831000000.0,525212000000.0,594104000000.0
Canada,CAN,"Population, total",SP.POP.TOTL,17909356.0,18271000.0,18614000.0,18964000.0,19325000.0,19678000.0,20048000.0,20412000.0,20744000.0,21028000.0,21324000.0,21962032.0,22218463.0,22491777.0,22807969.0,23143275.0,23449808.0,23725843.0,23963203.0,24201544.0,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,37601230.0,38037204.0,38246108.0,,CAN,GDP (current US$),NY.GDP.MKTP.CD,40461721693.0,40934952064.0,42227447632.0,45029988561.0,49377522897.0,54515179581.0,61088384037.0,65668655501.0,71829810520.0,79148411662.0,87896095320.0,99271961775.0,113083000000.0,131322000000.0,160409000000.0,173834000000.0,206576000000.0,211612000000.0,218633000000.0,243072000000.0,273854000000.0,306215000000.0,313507000000.0,340548000000.0,355373000000.0,364756000000.0,377438000000.0,431317000000.0,507354000000.0,565056000000.0,593930000000.0,610328000000.0,592388000000.0,577171000000.0,578139000000.0,604032000000.0,628546000000.0,654987000000.0,634000000000.0,678412000000.0,744773000000.0,738982000000.0,760649000000.0,895541000000.0,1026690000000.0,1173110000000.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0,1527990000000.0,1649270000000.0,1725330000000.0,1742020000000.0,1645420000000.0,1988340000000.0
Chile,CHL,"Population, total",SP.POP.TOTL,8141820.0,8313535.0,8486120.0,8656006.0,8825046.0,8994936.0,9161649.0,9326268.0,9491502.0,9656299.0,9820481.0,9984378.0,10145765.0,10307842.0,10472743.0,10639531.0,10804869.0,10969861.0,11137748.0,11304331.0,11469828.0,11637613.0,11807408.0,11976513.0,12147758.0,12326396.0,12514502.0,12712784.0,12918389.0,13128619.0,13342868.0,13561945.0,13782297.0,13998386.0,14210674.0,14416796.0,14615483.0,14809289.0,14996742.0,15176410.0,15351799.0,15523978.0,15693790.0,15859112.0,16017966.0,16175311.0,16334575.0,16495538.0,16661462.0,16833447.0,17004162.0,17173573.0,17341771.0,17509925.0,17687108.0,17870124.0,18083879.0,18368577.0,18701450.0,19039485.0,19300315.0,19493184.0,,CHL,GDP (current US$),NY.GDP.MKTP.CD,4110000000.0,4609727273.0,5416272727.0,5668187500.0,5982347826.0,6026593750.0,7072641026.0,7013196078.0,7167086957.0,8377093023.0,9126309735.0,10884114754.0,11853817308.0,16836261173.0,16210404184.0,7622217352.0,10341925249.0,13962893422.0,15989933708.0,21803696985.0,29036709872.0,34509878044.0,25325893206.0,20355959237.0,19622527480.0,17702885394.0,18891048819.0,22255407685.0,26040229793.0,29885685143.0,33113887819.0,37834793730.0,45964327559.0,49297773130.0,57008425296.0,73447063319.0,78574385336.0,85728899954.0,81995304456.0,75596103237.0,78249883996.0,71517080041.0,70294892400.0,76507577235.0,99079230170.0,122315000000.0,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278585000000.0,252727000000.0,317059000000.0
Colombia,COL,"Population, total",SP.POP.TOTL,15687688.0,16182414.0,16691282.0,17210956.0,17739754.0,18275814.0,18811407.0,19343961.0,19872503.0,20392264.0,20905254.0,21405413.0,21898055.0,22396318.0,22897871.0,23403731.0,23913002.0,24443926.0,25003608.0,25579323.0,26176195.0,26785982.0,27405194.0,28042329.0,28689032.0,29326260.0,29960101.0,30603048.0,31256727.0,31923117.0,32601393.0,33272628.0,33939039.0,34614735.0,35295461.0,35970101.0,36632573.0,37291946.0,37944414.0,38585033.0,39215135.0,39837875.0,40454050.0,41057687.0,41648268.0,42220940.0,42772910.0,43306582.0,43815313.0,44313917.0,44816108.0,45308899.0,45782417.0,46237930.0,46677947.0,47119728.0,47625955.0,48351671.0,49276961.0,50187406.0,50930662.0,51516562.0,,COL,GDP (current US$),NY.GDP.MKTP.CD,4031152977.0,4540447761.0,4955543963.0,4836166667.0,5973366667.0,5760761905.0,5428518519.0,5825170438.0,5960212869.0,6450175214.0,7198360460.0,7820380971.0,8671358733.0,10315760000.0,12370029584.0,13098633902.0,15341403660.0,19470960619.0,23263511958.0,27940411250.0,33400735644.0,36388366869.0,38968039722.0,38729822782.0,38253120738.0,34894411352.0,34942489684.0,36373307085.0,39212550050.0,39540080200.0,47844090710.0,49175565911.0,58418985443.0,66446804803.0,81703500846.0,92507279383.0,97160109278.0,106660000000.0,98443739941.0,86186158685.0,99886577331.0,98211749596.0,97963003805.0,94641378693.0,117082000000.0,145619000000.0,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,334944000000.0,370921000000.0,382116000000.0,381112000000.0,293482000000.0,282825000000.0,311884000000.0,334198000000.0,323110000000.0,270300000000.0,314464000000.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1346302.0,1396138.0,1447037.0,1498647.0,1550661.0,1602736.0,1654619.0,1706062.0,1756333.0,1805968.0,1855697.0,1905486.0,1955547.0,2006247.0,2058235.0,2111850.0,2167544.0,2225630.0,2286210.0,2349258.0,2414303.0,2481334.0,2550780.0,2622532.0,2696200.0,2771463.0,2847849.0,2924595.0,3001461.0,3079001.0,3158253.0,3239414.0,3321939.0,3405372.0,3489152.0,3572856.0,3656234.0,3739421.0,3821421.0,3901430.0,3979193.0,4053222.0,4122623.0,4188610.0,4252800.0,4315887.0,4378172.0,4440019.0,4501921.0,4563127.0,4622252.0,4679926.0,4736593.0,4791535.0,4844288.0,4895242.0,4945205.0,4993842.0,5040734.0,5084532.0,5123105.0,5153957.0,,CRI,GDP (current US$),NY.GDP.MKTP.CD,507513830.0,490325181.6,479180824.3,511902136.8,542578367.2,592981162.3,647305630.2,699456618.9,773841494.3,853630203.8,984830158.5,1077152902.0,1238251696.0,1528916185.0,1666544754.0,1960863466.0,2412555426.0,3072427013.0,3523208810.0,4035519323.0,4831447001.0,2623807074.0,2606621255.0,3146770104.0,3660476459.0,3919203960.0,4418983871.0,4532952047.0,4614629898.0,5251025767.0,5711687787.0,7196276092.0,8564044017.0,9582866263.0,10486784805.0,11578594260.0,11678424507.0,12614602382.0,13684255947.0,14254866281.0,15013629659.0,15976174337.0,16578820687.0,17271760507.0,18610594846.0,20040642477.0,22715540324.0,26884700345.0,30801744881.0,30745712007.0,37658614803.0,42762617082.0,47231651863.0,50949672206.0,52016408951.0,56441917653.0,58847016045.0,60516043590.0,62420165100.0,64417670083.0,62158002233.0,64282438667.0
Denmark,DNK,"Population, total",SP.POP.TOTL,4579603.0,4611687.0,4647727.0,4684483.0,4722072.0,4759012.0,4797381.0,4835354.0,4864883.0,4891860.0,4928757.0,4963126.0,4991596.0,5021861.0,5045297.0,5059862.0,5072596.0,5088419.0,5104248.0,5116801.0,5123027.0,5121572.0,5117810.0,5114297.0,5111619.0,5113691.0,5120534.0,5127024.0,5129516.0,5132594.0,5140939.0,5154298.0,5171370.0,5188628.0,5206180.0,5233373.0,5263074.0,5284991.0,5304219.0,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0,5856733.0,,DNK,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,11931739859.0,13059064375.0,13505573867.0,15414902267.0,17075457600.0,19085731252.0,23232379952.0,30730626663.0,34160444798.0,40474406216.0,44575892473.0,49784338519.0,60362931854.0,70366241969.0,71127528700.0,61877813965.0,60412844679.0,60644782176.0,59105236854.0,62658568287.0,88078760104.0,109414000000.0,115553000000.0,112409000000.0,138247000000.0,139225000000.0,152916000000.0,143196000000.0,156162000000.0,185007000000.0,187632000000.0,173538000000.0,176992000000.0,177965000000.0,164159000000.0,164791000000.0,178635000000.0,218096000000.0,251373000000.0,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,346499000000.0,355222000000.0,398303000000.0
Estonia,EST,"Population, total",SP.POP.TOTL,1211537.0,1225077.0,1241623.0,1258857.0,1277086.0,1294566.0,1308597.0,1318946.0,1331214.0,1345249.0,1360076.0,1376955.0,1392518.0,1405951.0,1418169.0,1429352.0,1439576.0,1450211.0,1460188.0,1468333.0,1477219.0,1487666.0,1498414.0,1508745.0,1518617.0,1528781.0,1540190.0,1552221.0,1561900.0,1568131.0,1569174.0,1561314.0,1533091.0,1494128.0,1462514.0,1436634.0,1415594.0,1399535.0,1386156.0,1390244.0,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1329522.0,1330932.0,,EST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4502970889.0,4786018988.0,5154420649.0,5674080543.0,5756912266.0,5686579748.0,6254649539.0,7367975888.0,9874013098.0,12145911801.0,14106790200.0,17022870405.0,22449129483.0,24341678629.0,19633031398.0,19523477326.0,23213994093.0,23019150071.0,25115753366.0,26634083965.0,22890762090.0,24072829277.0,26924385103.0,30624720196.0,31081901909.0,31370395573.0,37191166152.0
Finland,FIN,"Population, total",SP.POP.TOTL,4429634.0,4461005.0,4491443.0,4523309.0,4548543.0,4563732.0,4580869.0,4605744.0,4626469.0,4623785.0,4606307.0,4612124.0,4639657.0,4666081.0,4690574.0,4711440.0,4725664.0,4738902.0,4752528.0,4764690.0,4779535.0,4799964.0,4826933.0,4855787.0,4881803.0,4902206.0,4918154.0,4932123.0,4946481.0,4964371.0,4986431.0,5013740.0,5041992.0,5066447.0,5088333.0,5107790.0,5124573.0,5139835.0,5153498.0,5165474.0,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5529543.0,5541017.0,,FIN,GDP (current US$),NY.GDP.MKTP.CD,5224102196.0,5921659485.0,6340580854.0,6885920329.0,7766655086.0,8589340019.0,9208524505.0,9368954010.0,8823033880.0,10070766721.0,11357516988.0,12527405513.0,14743186120.0,19472363467.0,24848821490.0,29472623242.0,31849513771.0,33499799321.0,36256160289.0,44465255686.0,53645202423.0,52448332874.0,52797582336.0,50973526900.0,52888800950.0,55875863392.0,73531550551.0,91594751792.0,109059000000.0,119012000000.0,141438000000.0,127774000000.0,112533000000.0,89214114708.0,103300000000.0,134190000000.0,132129000000.0,126912000000.0,134039000000.0,135264000000.0,126020000000.0,129533000000.0,140404000000.0,171652000000.0,197479000000.0,204885000000.0,217089000000.0,256378000000.0,285716000000.0,253498000000.0,249424000000.0,275604000000.0,258290000000.0,271362000000.0,274863000000.0,234534000000.0,240771000000.0,255648000000.0,275708000000.0,268515000000.0,271892000000.0,297302000000.0
France,FRA,"Population, total",SP.POP.TOTL,46649927.0,47161641.0,47679792.0,48189939.0,48733997.0,49282756.0,49817041.0,50334012.0,50817020.0,51272683.0,51724116.0,52185222.0,52637888.0,53053660.0,53415250.0,53715733.0,53966558.0,54221988.0,54486195.0,54753575.0,55052582.0,55371044.0,55694106.0,55992656.0,56275701.0,56569195.0,56865193.0,57168409.0,57472651.0,57766282.0,58044701.0,58557577.0,58849943.0,59106166.0,59327585.0,59543659.0,59756533.0,59969944.0,60192790.0,60504420.0,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,67388001.0,67571107.0,67749632.0,,FRA,GDP (current US$),NY.GDP.MKTP.CD,62225478001.0,67461644222.0,75607529810.0,84759195106.0,94007851047.0,101537000000.0,110046000000.0,118973000000.0,129785000000.0,141903000000.0,148456000000.0,165967000000.0,203494000000.0,264430000000.0,285552000000.0,360832000000.0,372319000000.0,410279000000.0,506708000000.0,613953000000.0,701288000000.0,615552000000.0,584878000000.0,559869000000.0,530684000000.0,553138000000.0,771471000000.0,934173000000.0,1018850000000.0,1025210000000.0,1269180000000.0,1269280000000.0,1401470000000.0,1322820000000.0,1393980000000.0,1601090000000.0,1605680000000.0,1452880000000.0,1503110000000.0,1493150000000.0,1365640000000.0,1377660000000.0,1501410000000.0,1844540000000.0,2119630000000.0,2196950000000.0,2320540000000.0,2660590000000.0,2930300000000.0,2700890000000.0,2645190000000.0,2865160000000.0,2683670000000.0,2811880000000.0,2855960000000.0,2439190000000.0,2472960000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2639010000000.0,2957880000000.0
Germany,DEU,"Population, total",SP.POP.TOTL,72814900.0,73377632.0,74025784.0,74714353.0,75318337.0,75963695.0,76600311.0,76951336.0,77294314.0,77909682.0,78169289.0,78312842.0,78688452.0,78936666.0,78967433.0,78673554.0,78336950.0,78159814.0,78091820.0,78126350.0,78288576.0,78407907.0,78333366.0,78128282.0,77858685.0,77684873.0,77720436.0,77839920.0,78144619.0,78751283.0,79433029.0,80013896.0,80624598.0,81156363.0,81438348.0,81678051.0,81914831.0,82034771.0,82047195.0,82100243.0,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,83160871.0,83196078.0,,DEU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,215838000000.0,249985000000.0,299802000000.0,398374000000.0,445303000000.0,490637000000.0,519754000000.0,600498000000.0,740470000000.0,881345000000.0,950291000000.0,800472000000.0,776576000000.0,770684000000.0,725111000000.0,732535000000.0,1046260000000.0,1298180000000.0,1401230000000.0,1398970000000.0,1771670000000.0,1868950000000.0,2131570000000.0,2071320000000.0,2205070000000.0,2585790000000.0,2497240000000.0,2211990000000.0,2238990000000.0,2194950000000.0,1947980000000.0,1945790000000.0,2078480000000.0,2501640000000.0,2814350000000.0,2846860000000.0,2994700000000.0,3425580000000.0,3745260000000.0,3411260000000.0,3399670000000.0,3749310000000.0,3527140000000.0,3733800000000.0,3889090000000.0,3357590000000.0,3469850000000.0,3690850000000.0,3974440000000.0,3888230000000.0,3889670000000.0,4259930000000.0
Greece,GRC,"Population, total",SP.POP.TOTL,8331725.0,8398050.0,8448233.0,8479625.0,8510429.0,8550333.0,8613651.0,8684088.0,8740765.0,8772764.0,8792806.0,8831036.0,8888628.0,8929086.0,8962022.0,9046541.0,9188150.0,9308479.0,9429959.0,9548258.0,9642505.0,9729350.0,9789513.0,9846627.0,9895801.0,9934300.0,9967213.0,10000595.0,10036983.0,10089498.0,10196792.0,10319927.0,10399061.0,10460415.0,10512922.0,10562153.0,10608800.0,10661259.0,10720509.0,10761698.0,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,10698599.0,10641221.0,,GRC,GDP (current US$),NY.GDP.MKTP.CD,4335186017.0,4961400439.0,5213047711.0,5895278024.0,6669673257.0,7689154053.0,8591517944.0,9275600800.0,10090675903.0,11615657031.0,13139863636.0,14591750000.0,16885511364.0,22347848101.0,25351306818.0,28525876727.0,31152835821.0,36176234968.0,44270204082.0,54481876725.0,56829664269.0,52346506765.0,54617989796.0,49428873839.0,48020024184.0,47820851221.0,56379593476.0,65652750377.0,76261277925.0,79169043223.0,97891092003.0,105143000000.0,116225000000.0,108809000000.0,116602000000.0,136878000000.0,145862000000.0,143158000000.0,144428000000.0,142589000000.0,130458000000.0,136309000000.0,154564000000.0,202370000000.0,240964000000.0,247875000000.0,273547000000.0,318903000000.0,355909000000.0,331309000000.0,297125000000.0,282996000000.0,242029000000.0,238908000000.0,235458000000.0,195684000000.0,193148000000.0,199844000000.0,212049000000.0,205257000000.0,188926000000.0,214874000000.0
